iter	MAE
0	11.2155728
1	10.87960161
2	10.55318174
3	10.23648374
4	9.930253087
5	9.632559336
6	9.344851234
7	9.064964101
8	8.793641282
9	8.530649711
10	8.275324638
11	8.027678747
12	7.787246991
13	7.553772756
14	7.327339869
15	7.108168714
16	6.896224422
17	6.690497049
18	6.489911943
19	6.295368865
20	6.107208685
21	5.924307545
22	5.747103931
23	5.575311085
24	5.408256052
25	5.247029651
26	5.090079909
27	4.938425421
28	4.791327874
29	4.648241799
30	4.509093716
31	4.374227577
32	4.243825964
33	4.117126622
34	3.994129263
35	3.874627382
36	3.758966637
37	3.646797019
38	3.537737581
39	3.432282665
40	3.329554545
41	3.229940819
42	3.13326978
43	3.039404973
44	2.94863172
45	2.860523752
46	2.775096885
47	2.69243683
48	2.61226387
49	2.534279739
50	2.458820888
51	2.385487915
52	2.314132697
53	2.245181
54	2.178022742
55	2.11298216
56	2.049967281
57	1.988792091
58	1.929404407
59	1.871944719
60	1.816145069
61	1.761998406
62	1.709648602
63	1.65869606
64	1.60929513
65	1.561155135
66	1.514663728
67	1.469720787
68	1.425977521
69	1.383573697
70	1.342670468
71	1.302835779
72	1.264095898
73	1.226442083
74	1.189870538
75	1.15481598
76	1.120583026
77	1.087422452
78	1.055130247
79	1.02402172
80	0.9938845484
81	0.9644913873
82	0.9360030678
83	0.9083828362
84	0.8815748551
85	0.8554713329
86	0.8303965554
87	0.8059637472
88	0.7822491971
89	0.7593086316
90	0.7368713953
91	0.7150417616
92	0.6939714573
93	0.6734983127
94	0.6536676823
95	0.6344949835
96	0.6158902184
97	0.5978250997
98	0.5802986822
99	0.5632632222
100	0.5469030832
101	0.5310062728
102	0.5155195268
103	0.5005896623
104	0.4860109877
105	0.4719897158
106	0.4582614619
107	0.4449624159
108	0.4322473634
109	0.4197860154
110	0.407793937
111	0.3960627435
112	0.3848014618
113	0.373833008
114	0.3633091903
115	0.3530773814
116	0.343159912
117	0.3335414657
118	0.3241880839
119	0.31516024
120	0.3065802747
121	0.2983264783
122	0.2901838697
123	0.2824138124
124	0.2748152437
125	0.2675178905
126	0.2603284363
127	0.2535917385
128	0.2469770364
129	0.240778771
130	0.2347083464
131	0.2289795483
132	0.2233346628
133	0.2178689365
134	0.2125991009
135	0.2074466167
136	0.2025248978
137	0.1979079179
138	0.193452457
139	0.1890379558
140	0.1849553555
141	0.1810589776
142	0.1771803825
143	0.1735281841
144	0.1700241996
145	0.1668289035
146	0.1635736041
147	0.160507469
148	0.1575932309
149	0.1548054024
150	0.1519895789
151	0.1493394549
152	0.1469137451
153	0.1444497219
154	0.1422099547
155	0.1400950027
156	0.1381680669
157	0.136101862
158	0.134294091
159	0.1325671983
160	0.1309284473
161	0.1292064408
162	0.1276542789
163	0.126193918
164	0.1246355973
165	0.1233810396
166	0.1220290324
167	0.1207865985
168	0.1196472901
169	0.1185474747
170	0.1174937527
171	0.1164462412
172	0.115346409
173	0.1144159542
174	0.1135009907
175	0.1126259448
176	0.1117619376
177	0.111036525
178	0.1102572108
179	0.1095451601
180	0.1087924209
181	0.1080532726
182	0.1073462714
183	0.1066505953
184	0.1060226567
185	0.1053381265
186	0.1047358849
187	0.1041678667
188	0.1036091895
189	0.1031171286
190	0.1025724272
191	0.1020873112
192	0.1016842281
193	0.1011894089
194	0.1007565658
195	0.1002861822
196	0.09986650561
197	0.09954196988
198	0.09922160287
199	0.09880446256
200	0.09853484981
201	0.09816770529
202	0.09784883574
203	0.09751526096
204	0.09716993873
205	0.09692820034
206	0.09667369578
207	0.09632983808
208	0.09607139523
209	0.09575517971
210	0.09549471439
211	0.09525896638
212	0.09502499619
213	0.09473615829
214	0.09447272806
215	0.0942609283
216	0.09404927777
217	0.0938208412
218	0.09368654318
219	0.0934951172
220	0.09334247223
221	0.0931655122
222	0.09294373023
223	0.09279599711
224	0.09266251195
225	0.09252009059
226	0.09235605872
227	0.09219105442
228	0.09204045916
229	0.09192919796
230	0.0917928962
231	0.09168006097
232	0.09154654995
233	0.09137252047
234	0.09126930228
235	0.09110640643
236	0.09095023733
237	0.09086117684
238	0.09074843986
239	0.09062839358
240	0.09047635437
241	0.09037281763
242	0.09026044869
243	0.09013175962
244	0.09002567336
245	0.08992572806
246	0.0898328071
247	0.08973453245
248	0.08956798264
249	0.08948359682
250	0.08941589175
251	0.08929202427
252	0.08916863665
253	0.08906670949
254	0.08897724389
255	0.08888066272
256	0.08879548067
257	0.08871165322
258	0.08859488892
259	0.08849686384
260	0.08842724758
261	0.08833814317
262	0.08828314888
263	0.08819703042
264	0.08813946787
265	0.08805822614
266	0.0879672955
267	0.08788453582
268	0.0878145292
269	0.08773691042
270	0.08767586432
271	0.08761674231
272	0.08754937107
273	0.08748287817
274	0.08742944535
275	0.08738828291
276	0.08730886225
277	0.08725614678
278	0.08717678496
279	0.08711821074
280	0.08705713872
281	0.08697772516
282	0.08692684832
283	0.08687011343
284	0.08682936746
285	0.08677622045
286	0.08673583661
287	0.08669070411
288	0.08663794571
289	0.08655699095
290	0.08647660257
291	0.08641139802
292	0.08635495018
293	0.08628877622
294	0.08623048231
295	0.08617826565
296	0.08611542699
297	0.08606063361
298	0.08597495263
299	0.08592105215
300	0.08585783533
301	0.08580753791
302	0.08575291679
303	0.0857109364
304	0.0856291474
305	0.0856055326
306	0.08559503494
307	0.08556044721
308	0.08550777358
309	0.08543632299
310	0.08540520529
311	0.08535859499
312	0.0853178674
313	0.08526053542
314	0.08521937628
315	0.0851629349
316	0.08512991168
317	0.08508424616
318	0.08507285452
319	0.08504107637
320	0.08501178539
321	0.08494493149
322	0.08488067446
323	0.08480020338
324	0.08474812216
325	0.08471639522
326	0.08471327185
327	0.08468424133
328	0.08463303929
329	0.08456259085
330	0.08453713037
331	0.0845031952
332	0.08445262275
333	0.08442724102
334	0.08438513211
335	0.08433724963
336	0.08430535107
337	0.08426450051
338	0.08421972767
339	0.08416917661
340	0.0840994843
341	0.08407895002
342	0.08405466165
343	0.08402635621
344	0.08398693749
345	0.08394227006
346	0.08389373852
347	0.08386280587
348	0.08383736278
349	0.08378436479
350	0.08373869437
351	0.08367476563
352	0.08364851068
353	0.08359821154
354	0.08355893448
355	0.08352081417
356	0.08348268849
357	0.08344241903
358	0.08340852346
359	0.08336751503
360	0.08332490309
361	0.0832894842
362	0.08323515837
363	0.08319750301
364	0.0831656249
365	0.0831315027
366	0.08311573306
367	0.08304139658
368	0.08299073221
369	0.08296167267
370	0.0829123842
371	0.08284649353
372	0.08280943079
373	0.08276062377
374	0.08272768332
375	0.08269979094
376	0.0826607346
377	0.08260203381
378	0.08257616124
379	0.08254073605
380	0.08250375678
381	0.08245532945
382	0.08241493976
383	0.08238491608
384	0.08235065153
385	0.08232625541
386	0.08230160415
387	0.08226306623
388	0.08223941206
389	0.0821772003
390	0.08214704786
391	0.08209983725
392	0.08208424516
393	0.08206491987
394	0.08202696745
395	0.08199418562
396	0.08196326923
397	0.08189692636
398	0.08187504736
399	0.08185100017
400	0.08182237281
401	0.0817892979
402	0.08176846813
403	0.08174242223
404	0.08173456416
405	0.08169938463
406	0.08166234201
407	0.08161234661
408	0.08156643401
409	0.08152313239
410	0.08149763354
411	0.08148127482
412	0.08145119496
413	0.08141422013
414	0.08139346057
415	0.0813557688
416	0.08133944336
417	0.0813159138
418	0.08129117116
419	0.08125947726
420	0.08122412392
421	0.08120618121
422	0.08118381732
423	0.08116475995
424	0.08114088077
425	0.08110136381
426	0.08107136107
427	0.08103652641
428	0.08100404483
429	0.0809738014
430	0.08094445764
431	0.08092855544
432	0.08091125299
433	0.08088860397
434	0.08085184776
435	0.08084415347
436	0.08084287826
437	0.08084187152
438	0.08082616071
439	0.08077001626
440	0.08075299148
441	0.08074126857
442	0.08070560717
443	0.08068253914
444	0.08066290585
445	0.08066010219
446	0.08061028338
447	0.08059432634
448	0.08057885826
449	0.08055540321
450	0.08054332143
451	0.08054266267
452	0.08052038094
453	0.08051960958
454	0.08050457224
455	0.08049592906
456	0.08048473838
457	0.08047292247
458	0.08046219489
459	0.08046165288
460	0.08044271641
461	0.08042302144
462	0.08040224149
463	0.08038531236
464	0.08036783048
465	0.08033991047
466	0.08031977489
467	0.08028000707
468	0.0802512594
469	0.08023214616
470	0.08022963717
471	0.08021733458
472	0.08018580815
473	0.08017462734
474	0.08014331123
475	0.08013071066
476	0.0801034218
477	0.08009708846
478	0.08004149014
479	0.08002778099
480	0.07998357947
481	0.07993539523
482	0.07990213663
483	0.07987680216
484	0.07986959341
485	0.0798378523
486	0.07981769852
487	0.07979298851
488	0.07977041358
489	0.07974123487
490	0.07972186742
491	0.0797028442
492	0.07968531262
493	0.0796497317
494	0.07961737589
495	0.07959612274
496	0.07957759378
497	0.07954540212
498	0.07951555147
499	0.07947717058
500	0.07945439841
501	0.07943849567
502	0.07940551457
503	0.07937345692
504	0.07935674396
505	0.07933876754
506	0.07929756568
507	0.07927557904
508	0.07924880243
509	0.07922849942
510	0.07919752454
511	0.07918740413
512	0.07917778039
513	0.0791625694
514	0.07914630773
515	0.0791303311
516	0.07910285332
517	0.07907530301
518	0.07905626001
519	0.07903404138
520	0.07901036626
521	0.07898954818
522	0.07896859704
523	0.07894905155
524	0.07892924489
525	0.07889854675
526	0.07887000055
527	0.07883690431
528	0.0788161335
529	0.07879896889
530	0.07878409093
531	0.07874471743
532	0.07872678108
533	0.07871320791
534	0.07868877009
535	0.07867453339
536	0.07866054866
537	0.07864617078
538	0.07863384715
