iter	Passed	Remaining
412	3683	219305
413	3693	219324
414	3704	219479
415	3714	219509
416	3723	219508
417	3735	219700
418	3744	219677
419	3753	219667
420	3762	219654
421	3771	219650
422	3780	219666
423	3789	219667
424	3799	219689
425	3808	219668
426	3817	219682
427	3826	219703
428	3836	219735
429	3844	219697
430	3854	219739
431	3863	219727
432	3872	219706
433	3881	219684
434	3890	219690
435	3899	219714
436	3908	219697
437	3917	219678
438	3926	219670
439	3935	219683
440	3944	219666
441	3953	219657
442	3962	219672
443	3972	219690
444	3981	219708
445	3991	219734
446	4000	219762
447	4009	219748
448	4018	219726
449	4028	219783
450	4037	219759
451	4046	219761
452	4055	219757
453	4064	219747
454	4073	219735
455	4082	219725
456	4091	219754
457	4100	219746
458	4110	219749
459	4119	219750
460	4127	219704
461	4136	219700
462	4145	219686
463	4154	219711
464	4165	219789
465	4175	219808
466	4184	219806
467	4193	219812
468	4202	219826
469	4211	219796
470	4220	219803
471	4228	219758
472	4238	219792
473	4247	219774
474	4256	219784
475	4265	219769
476	4274	219772
477	4283	219773
478	4293	219783
479	4302	219777
480	4311	219784
481	4320	219776
482	4329	219742
483	4337	219712
484	4346	219714
485	4355	219714
486	4365	219717
487	4374	219711
488	4383	219711
489	4392	219697
490	4401	219684
491	4410	219703
492	4419	219715
493	4428	219708
494	4437	219695
495	4447	219706
496	4457	219742
497	4465	219714
498	4474	219711
499	4483	219709
500	4492	219698
501	4501	219693
502	4510	219693
503	4520	219703
504	4529	219686
505	4539	219729
506	4548	219731
507	4557	219735
508	4566	219740
509	4575	219731
510	4584	219726
511	4594	219733
512	4602	219699
513	4611	219683
514	4621	219705
515	4630	219706
516	4639	219700
517	4648	219699
518	4659	219806
519	4669	219816
520	4678	219815
521	4689	219886
522	4700	219983
523	4711	220054
524	4723	220217
525	4735	220323
526	4743	220298
527	4752	220278
528	4762	220318
529	4768	220160
530	4777	220142
531	4791	220374
532	4802	220474
533	4812	220506
534	4822	220533
535	4832	220544
536	4840	220529
537	4850	220557
538	4859	220548
539	4869	220548
540	4877	220525
541	4886	220506
542	4895	220502
543	4904	220474
544	4913	220475
545	4922	220467
546	4931	220472
547	4940	220461
548	4949	220454
549	4958	220443
550	4968	220459
551	4977	220468
552	4987	220468
553	4996	220467
554	5005	220455
555	5016	220537
556	5025	220552
557	5035	220582
558	5045	220595
559	5054	220598
560	5063	220580
561	5072	220574
562	5081	220560
563	5090	220538
564	5099	220535
565	5109	220562
566	5117	220532
567	5126	220521
568	5137	220573
569	5151	220774
570	5160	220792
571	5171	220875
572	5181	220886
573	5190	220883
574	5200	220895
575	5209	220897
576	5218	220883
577	5227	220893
578	5236	220869
579	5245	220857
580	5255	220865
581	5263	220836
582	5273	220845
583	5282	220841
584	5291	220844
585	5300	220818
586	5308	220797
587	5317	220782
588	5327	220785
589	5335	220764
590	5345	220779
591	5353	220743
592	5363	220743
593	5372	220725
594	5381	220729
595	5390	220715
596	5399	220698
597	5408	220696
598	5418	220728
599	5428	220741
600	5437	220737
601	5446	220752
602	5455	220730
603	5465	220738
604	5474	220754
605	5483	220735
606	5493	220758
